URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://www.law.columbia.edu/student-journals/law_arts,404,,1/24/17,Not found,Desktop,3/25/17
http://www.law.columbia.edu/law_school/communications/reports/fall2003/pmavroidis,404,,1/24/17,Not found,Desktop,5/15/17
http://www.law.columbia.edu/library/collections/recent/2002?exclusive=filemgr.download&file_id=94284&rtcontentdisposition=filename%3D6_fjun02.pdf,404,,2/13/17,Not found,Desktop,2/20/17
http://www.law.columbia.edu/curriculum/innovative/bankruptcy,404,,1/24/17,Not found,Desktop,3/24/17
http://www.law.columbia.edu/intl/intnl_programs,404,,1/22/17,Not found,Desktop,3/23/17
http://www.law.columbia.edu/current_student/student_service/clerkships/database,404,,2/1/17,Not found,Desktop,4/6/17
http://www.law.columbia.edu/current_student/student_service/Law_Journals/euro_law,404,,4/10/17,Not found,Desktop,4/10/17
http://www.law.columbia.edu/center_program/human_rights/Who_We_Are/CBettingerlopez,404,,3/8/17,Not found,Desktop,5/19/17
http://www.law.columbia.edu/null/Leubsdorf?exclusive=filemgr.download&file_id=12571&showthumb=0,404,,3/1/17,Not found,Desktop,3/26/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/investment_tips,404,,1/30/17,Not found,Desktop,3/21/17
http://www.law.columbia.edu/fac/Margaux_Hall,404,,1/30/17,Not found,Desktop,4/8/17
http://www.law.columbia.edu/llm_intro/grad_studies/courses/Intellectual_Pr,404,,5/16/17,Not found,Desktop,5/16/17
http://www.law.columbia.edu/calendar/event/622449,404,,2/1/17,Not found,Desktop,4/18/17
http://www.law.columbia.edu/fac/Jennifer_Rodgers,404,,1/20/17,Not found,Desktop,4/20/17
http://www.law.columbia.edu/law_school/communications/reports/fall06,404,,1/21/17,Not found,Desktop,5/16/17
http://www.law.columbia.edu/employers/clerkships,404,,1/22/17,Not found,Desktop,3/4/17
http://www.law.columbia.edu/fac/Aaron_Simowitz,404,,3/7/17,Not found,Desktop,5/7/17
http://www.law.columbia.edu/law_school/communications/reports/winter06/jr_faculty,404,,1/24/17,Not found,Desktop,5/18/17
http://www.law.columbia.edu/alumni/highlights/alumni_news/2000/summer2000,404,,1/27/17,Not found,Desktop,2/25/17
http://www.law.columbia.edu/law_school/communications/reports/fall06/IP_Alumni,404,,1/21/17,Not found,Desktop,5/4/17
http://www.law.columbia.edu/law_school/communications/reports/fall2003,404,,1/21/17,Not found,Desktop,4/21/17
http://www.law.columbia.edu/law_school/communications/reports/winter07,404,,1/25/17,Not found,Desktop,4/26/17
http://www.law.columbia.edu/center_program/crime,404,,1/20/17,Not found,Desktop,4/24/17
http://www.law.columbia.edu/fac/Maggie_Wittlin,404,,2/20/17,Not found,Desktop,4/1/17
http://www.law.columbia.edu/law_school/communications/reports,404,,1/22/17,Not found,Desktop,4/16/17
http://www.law.columbia.edu/fac/Noa_Ben-Asher,404,,1/23/17,Not found,Desktop,5/10/17
http://www.law.columbia.edu/center_program/crime/faculty,404,,2/7/17,Not found,Desktop,5/8/17
